1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
108,0,0,0,0,1,0,0,0,2,0,0,0,0,2,0,0,0
0,128,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,112,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,143,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,1,670,4,0,0,1,0,1,2,0,4,0,0,0
0,0,0,0,0,0,138,0,0,0,0,0,0,0,2,0,0,0
0,0,0,0,0,0,0,57,0,5,0,0,0,0,39,0,1,0
0,0,0,0,0,0,0,0,67,1,0,0,1,0,17,0,0,0
2,0,0,0,0,6,1,1,2,1012,0,0,8,16,240,0,3,1
0,0,0,0,0,0,0,0,0,3,251,0,0,1,3,0,0,0
0,0,0,1,0,0,0,0,0,0,0,101,0,0,2,0,0,0
0,0,0,0,0,1,0,0,0,8,0,0,140,0,19,0,0,0
0,0,0,0,0,0,0,0,0,13,1,0,0,1227,18,0,0,0
1,1,0,0,0,3,1,13,1,116,2,0,6,7,10221,3,4,6
0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,90,0,0
0,0,0,0,0,0,0,1,0,9,0,0,1,1,27,0,137,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,0,0,160
