pattern,replace,status
"[[:digit:]]{4}[[:alpha:]]{1,2}","4D12A",0
"[[:digit:]]{1,3}[[:alpha:]]","13D1A",0
"[[:digit:]][[:alpha:]]{3}","1D3A",0
"[[:digit:]][[:alpha:]][[:digit:]]{2}","1D1A2D",0
"[[:digit:]]{2}[[:alpha:]]{2}X{6,10}","2D2A6X",0
"[[:digit:]]{2}[[:alpha:]]{15}","2D15A",0
"[[:alpha:]][[:digit:]]{3,4}","1A4D",0
"[[:alpha:]]{2}[[:digit:]]{2,4}","2A2D",0
"ACCT[[:digit:]]{4}","ACCT",0
"ACC[[:digit:]]{4}","ACC4D",0
"ATM[[:digit:]]+","ATM",0
"AD[[:digit:]]{3}","AD3D",0
"ADPX{5}[[:digit:]]{4}","ADP5X4D",0
"ADVANTAGE[[:digit:]]{2}","ADV2D",0
"APX{5}[[:digit:]]{4}","AP5X4D",0
"AOX{5}[[:digit:]]{4}","AO5X4D",0
"CKFX{5}[[:digit:]]{4}NEG","CKFNEG",0
"CKFX{5}[[:digit:]]{4}POS","CKFPOS",0
"MAC[[:alnum:]]{12}","MAC",0
"PNCP[[:alnum:]]{5}","PNCP",0
"POSX+","POS",0
"POS00[[:alnum:]]+","POS",0
"BANK[[:digit:]]{2,4}","BANK",0
"BHMANAGEMENT[[:digit:]]{4}","BHMANAGEMENT4D",0
"BIGFISHGAMESX{5}[[:digit:]]{4}","BIGFISHGAMES5X4D",0
"X{11,12}[[:digit:]]{4}","X1112D4",0
"X{12}[[:alnum:]]{3}","X12LD3",0
"X{13}[[:alnum:]]{2}","X13LD2",0
"X{14}[[:alnum:]]","X14LD",0
"X{2,10}[[:digit:]]{4}","X210D4",0
"[[:digit:]]{2}[[:alpha:]]{3}[[:digit:]]{2}","DATE",0
"[[:digit:]]{2}[[:alpha:]]{3}","DATE",0
"[[:alpha:]]{3}[[:digit:]]{2}","DATE",0
"[[:digit:]]{2}/[[:digit:]]{2}","DATE",0
"[[:digit:]]+","NUM",0


